Source,Target,generated
J. H. Brower,Isaac Van Zandt,175
Isaac Van Zandt,Anson Jones,176
Charles H. Raymond,Anson Jones,177
Charles H. Raymond,Anson Jones,178
Charles H. Raymond,Anson Jones,179
Anson Jones,James Reily,180
Anson Jones,Charles H. Raymond,181
Charles H. Raymond,Anson Jones,182
A. J. Donelson,Anson Jones,183
M.S. CucuUu,John C. Spencer,184
Balie Peyton,M. S. CucuUu,185
Eddy and Moss,the collector of the customs at New Orleans,186
John C. Calhoun,Charles H. Raymond,187
Charles H. Raymond,John C. Calhoun,188
A. J. Donelson,Anson Jones,189
Anson Jones,A. J. Donelson,190
,December 10 1844,191
Ebenezer Allen,A. J. Donelson,192
A. J. Donelson,Ebenezer Allen,193
,,194
John C. Calhoun,Charles H. Raymond,195
Charles H. Raymond,John C. Calhoun,196
,,197
,,198
,,199
,,200
,,201
Ebenezer Allen,A. J. Donelson,202
Charles H. Raymond,Ebenezer Allen,203
A. J. Donelson,Ebenezer Allen,204
Ebenezer Allen,Charles H. Raymond,205
Charles H. Raymond,Ebenezer Allen,206
Ebenezer Allen,Charles H. Raymond,207
Charles H. Raymond,Ebenezer Allen,208
Ebenezer Allen,Charles H. Raymond,209
,,210
A. J. Donelson,Ebenezer Allen,211
Duff Green,A. J. Donelson,212
Williams Thurston and Meggerson,Duff Green,213
A. J. Donelson,Ebenezer Allen,214
Ebenezer Allen,A. J. Donelson,215
Charles H. Raymond,Ebenezer Allen,216
John C. Calhoun,Charles H. Raymond,217
Charles H. Raymond,Ebenezer Allen,218
Charles H. Raymond,John C. Calhoun,219
Ashbel Smith,A. J. Donelson,220
Ashbel Smith,Charles H. Raymond,221
Charles H. Raymond,Ebenezer Allen,222
Charles H. Raymond,John C. Calhoun,223
Charles H. Raymond,John C. Calhoun,224
Charles H. Raymond,Ebenezer Allen,225
Charles H. Raymond,Ebenezer Allen,226
Ashbel Smith,Charles H. Raymond,227
Ashbel Smith,Stewart Newell,228
Charles H. Raymond,Ashbel Smith,229
A. J. Donelson,Ebenezer Allen,230
Charles H. Raymond,Ebenezer Allen,231
Charles H. Raymond,Ebenezer Allen,232
Ebenezer Allen,David S. Kaufman,233
Ebenezer Allen,David S. Kaufman,234
Anson Jones,James K. Polk,235
Ebenezer Allen,William D. Lee,236
T. Hartley Crawford,A. J. Donelson,237
E. A. Rhodes,Ebenezer Allen,238
J. Y. Mason,E. A. Rhodes,239
E. A. Rhodes,Ebenezer Allen,240
Anson Jones,Zachary Taylor,241
Ebenezer Allen,E. A. Rhodes,242
William D. Lee,Ebenezer Allen,243
James Buchanan,William D. Lee,244
William D. Lee,James Buchanan,245
David S. Kaufman,Ebenezer Allen,246
David S. Kaufman,James Buchanan,247
William D. Lee,Ebenezer Allen,248
Ebenezer Allen,David S. Kaufman,249
William D. Lee,Ebenezer Allen,250
W. L. Marcy,David S. Kaufman,251
David S. Kaufman,Ebenezer Allen,252
William D. Lee,Ebenezer Allen,253
,,254
,,255
,,256
,,257
,,258
William D. Lee,James Buchanan,259
Anson Jones,James K. Polk,260
Joseph C. Eldredge,E. A. Rhodes,261
Anson Jones,James K. Polk,262
R. J. Walker,Hiram G. Runnels,263
David G. Burnet,Anto. Lopez de Santa Anna,264
David G. Burnet,Anto. Lopez de Santa Anna,265
David G. Burnet,Anto. Lopez de Santa Anna,266
David G. Burnet,Anto. Lopez de Santa Anna,267
Anto. Lopez de Santa Anna,David G. Burnet,268
Anto. Lopez de Santa Anna,David G. Burnet,269
Anto. Lopez de Santa Anna,David G. Burnet,270
Anto. Lopez de Santa Anna,Sam Houston,271
Stephen F. Austin,Fran. Pizarro Martinez,272
Geo. W. Hockley,Sam Houston,273
Geo. W. Hockley,Sam Houston,274
Barnard E. Bee,Sam Houston,275
Fran. Pizarro Martinez,Stephen F. Austin,276
A. J. Yates,Stephen F. Austin,277
Correspondent in Tampico,T. by,278
Correspondent in Tampico,T. by,279
Antonio Canales,Mirabeau B. Lamar,280
James Webb,Barnard E. Bee,281
Barnard E. Bee,James Webb,282
James Webb,Barnard E. Bee,283
Barnard E. Bee,James Webb,284
Barnard E. Bee,James Webb,285
439,,286
Barnard E. Bee,James Webb,287
Barnard E. Bee,James Webb,288
Barnard E. Bee,James Webb,289
Barnard E. Bee,James Webb,290
Barnard E. Bee,James Webb,291
Barnard E. Bee,James Webb,292
Geo. L. Hammeken,James Hamilton,293
Geo. L. Hammeken,James Webb,294
Barnard E. Bee,James Webb,295
Barnard E. Bee,James Webb,296
James Hamilton,Mirabeau B. Lamar,297
J. R. Poinsett,James Hamilton,298
James Hamilton,Mirabeau B. Lamar,299
James Hamilton,R. Copeland,300
Barnard E. Bee,James Webb,301
Barnard E. Bee,James Webb,302
Barnard E. Bee,James Webb,303
James Hamilton,Mirabeau B. Lamar,304
Barnard E. Bee,James Webb,305
Barnard E. Bee,James Webb,306
Barnard E. Bee,James Webb,307
James Webb,Barnard E. Bee,308
Barnard E. Bee,James Webb,309
BaniaxdE. Bee,James Webb,310
,,311
,,312
,,313
,,314
,,315
3839 467,,316
James Hamilton,Mirabeau B. Lamar,317
Mirabeau B. Lamar,James Treat,318
David G. Burnet,James Treat,319
Barnard E. Bee,David G. Burnet,320
Jacob Barker,Barnard E. Bee,321
James Treat,David G. Burnet,322
David G. Burnet,James Treat,323
James Treat,Mirabeau B. Lamar,324
James Treat,David G. Burnet,325
James Treat,David G. Burnet,326
James Treat,David G. Burnet,327
James Treat,Mirabeau B. Lamar,328
,,329
,,330
,James Treat,331
James Treat,David G. Burnet,332
James Treat,David G. Burnet,333
James Treat,David G. Burnet,334
James Treat,David G. Burnet,335
A. S. Wright,Wm. Bryan,336
James Treat,David G. Burnet,337
James Treat,David G. Burnet,338
A. S. Wright,William Bryan,339
Juan de Dios Cafiedo,R. Pakenham,340
James Treat,Mirabeau B. Lamar,341
James Treat,Mirabeau B. Lamar,342
James Treat,James Hamilton,343
James Treat,Mirabeau B. Lamar,344
David G. Burnet,James Hamilton,345
A. S. Wright,Wm. Bryan,346
A. S. Wright,John Merle,347
A. S. Wright,Wm. Bryan,348
James Treat,Mirabeau B. Lamar,349
James Hamilton,David G. Burnet,350
James Treat,Mirabeau B. Lamar,351
James Treat,Mirabeau B. Lamar,352
James Treat,Mirabeau B. Lamar,353
James Treat,Mirabeau B. Lamar,354
James Treat,Mirabeau B. Lamar,355
James Treat,Mirabeau B. Lamar,356
Abner S. Lipscomb,Barnard E. Bee,357
James Treat,Mirabeau B. Lamar,358
James Treat,Mirabeau B. Lamar,359
James Treat,Juan de Dios Cafiedo,360
James Treat,Juan de Dios Cafiedo,361
James Treat,Juan de Dios Cafiedo,362
James Treat,Mirabeau B. Lamar,363
James Treat,Mirabeau B. Lamar,364
James Treat,Mirabeau B. Lamar,365
James Treat,Mirabeau B. Lamar,366
James Treat,Juan de Dios Cafiedo,367
,,368
,,369
,,370
,,371
James Treat,Juan Nepomuceno Almonte,372
James Treat,Juan de Dios Cafiedo,373
James Treat,Juan de Dios Cafiedo,374
James Treat,Juan de Dios Cafiedo,375
James Treat,Mirabeau B. Lamar,376
James Treat,Mirabeau B. Lamar,377
David G. Burnet,James Treat,378
David G. Burnet,R. Pakenham,379
David G. Burnet,R. Pakenham,380
James Treat,Mirabeau B. Lamar,381
James Treat,Mirabeau B. Lamar,382
Propositions of Texas,Mexico,383
James Treat,Mirabeau B. Lamar,384
Abner S. Lipscomb,James Treat,385
Abner S. Lipscomb,Hamilton and Burnley,386
,April 10 1840,387
Jas. Ogilvy,R. Pakenham,388
Jas. Ogilvy,R. Pakenham,389
James Treat,Mirabeau B. Lamar,390
James Treat,Mirabeau B. Lamar,391
Correspondent at Vera Cruz,David G. Burnet,392
James Treat,Mirabeau B. Lamar,393
James Treat,Juan de Dios Cafiedo,394
A. S. Wright,Barnard E. Bee,395
,April 21 1840,396
James Treat,Mirabeau B. Lamar,397
R. Pakenham,David G. Burnet,398
James Treat,Mirabeau B. Lamar,399
A. S. Wright,Barnard E. Bee,400
A. S. Wright,Barnard E. Bee,401
A. S. Wright,Barnard E. Bee,402
A. S. Wright,Barnard E. Bee,403
,April 30 1840,404
Abner S. Lipscomb,James Hamilton,405
Abner S. Lipscomb,James Treat,406
James Treat,Mirabeau B. Lamar,407
James Treat,Mirabeau B. Lamar,408
James Treat,James Ritchie,409
James Treat,Mirabeau B. Lamar,410
James Treat,Mirabeau B. Lamar,411
Abner S. Lipscomb,James Treat,412
James Treat,Mirabeau B. Lamar,413
James Treat,Abner S. Lipscomb,414
Mirabeau B. Lamar,E. W. Moore,415
A. S. Wright,Barnard E. Bee,416
A. S. Wright,Barnard E. Bee,417
James Treat,Abner S. Lipscomb,418
James Treat,Mirabeau B. Lamar,419
James Treat,Juan de Dios Cafiedo,420
Barnard E. Bee,James Treat,421
James Treat,Abner S. Lipscomb,422
James Treat,Mirabeau B. Lamar,423
,,424
,,425
,,426
,,427
,,428
James Treat,Mirabeau B. Lamar,429
James Treat,Abner S. Lipscomb,430
James Treat,Mirabeau B. Lamar,431
A. S. Wright,Barnard E. Bee,432
A. S. Wright,Barnard E. Bee,433
James Treat,Mirabeau B. Lamar,434
James Treat,Abner S. Lipscomb,435
,,436
James Treat,E. W. Moore,437
E. W. Moore,James Treat,438
E. W. Moore,Mirabeau B. Lamar,439
E. W. Moore,Abner S. Lipscomb,440
James Treat,Abner S. Lipscomb,441
Memorandum communicated by Treat,Mexican Government,442
Abner S. Lipscomb,James Treat,443
James Treat,Abner S. Lipscomb,444
,Septem-,445
,,446
James Treat,Abner S. Lipscomb,447
James Treat,Abner S. Lipscomb,448
James Treat,Abner S. Lipscomb,449
E. W. Moore,James Treat,450
E. W. Moore,Joaquin Rivas Sayas,451
Joaquin Rivas Sayas,E. W. Moore,452
Nathaniel Amory,Abner S. Lipscomb,453
Juan N. Leplicher,Nathaniel Amory,454
A. S. Wright,Nathaniel Amory,455
Juan Vitalba,Mirabeau B. Lamar,456
James Treat,R. Pakenham,457
James Treat,R. Pakenham,458
James Treat,R. Pakenham,459
R. Pakenham,James Treat,460
Juan de Dios Cafiedo,R. Pakenham,461
R. Pakenham,James Treat,462
R. Pakenham,James Treat,463
R. Pakenham,James Treat,464
R. Pakenham,James Treat,465
James Treat,E. W. Moore,466
James Treat,E. W. Moore,467
A. S. Wright,Mirabeau B. Lamar,468
James S. Mayfield,James Webb,469
Samuel A. Roberts,Cooke and others,470
Samuel A. Roberts,Wm. G. Cooke,471
Samuel A. Roberts,Rafael Uribe,472
Samuel A. Roberts,Van Ness and Morris,473
Mirabeau B. Lamar,Mariano Arista,474
James Webb,James S. Mayfield,475
James Webb,Ignacio de Mora,476
,,477
,,478
,,479
,,480
,,481
Ignacio de Mora,James Webb,482
James Webb,R. Pakenham,483
R. Pakenham,James Webb,484
Sebastian Canacho,R. Pakenham,485
R. Pakenham,James S. Mayfield,486
James Webb,R. Pakenham,487
James Webb,Mirabeau B. Lamar,488
Samuel A. Roberts,James Webb,489
John D. Morris,Samuel A. Roberts,490
John D. Morris,Samuel A. Roberts,491
Van Ness and Morris,Rafael Uribe,492
Van Ness and Morris,Carrasco,493
Van Ness and Morris,Mariano Arista,494
Mariano Arista,Van Ness and Morris,495
,November 9 1841,496
Anson Jones,James Hamilton,497
,June 10 1843,498
Sam Houston,*Hockley and Williams,499
G. W. Hill,Adrian Woll,500
Reuben M. Potter,Ashbel Smith,501
Mirabeau B. Lamar,Governor of Yucatan,502
Miguel Barbachano,Mirabeau B. Lamar,503
Martin F. Peraza,Samuel A. Roberts,504
Samuel A. Roberts,Martin F. Peraza,505
Martin F. Peraza,Samuel A. Roberts,506
E. W. Moore,PedrffLemus,507
Pedro Lemus,E. W. Moore,508
,January 18 1842,509
,January 18 1842,510
Instructions,Peraza,511
Joaquin G. Rej6n,President of Texas,512
,April 8 1842,513
R. A. Irion,J. Pinckney Henderson,514
,July 24 1837,515
R. A. Irion,J. Pinckney Henderson,516
,October 14 1837,517
J. Pinckney Henderson,Lord Palmerston,518
Lord Palmerston,J. Pinckney Henderson,519
J. Pinckney Henderson,Lord Palmerston,520
J. Pinckney Henderson,R. A. Irion,521
J. Pinckney Henderson,Lord Palmerston,522
Lord Palmerston,J. Pinckney Henderson,523
J. Pinckney Henderson,Lizardi <k Co.,524
J. Pinckney Henderson,R. A. Irion,525
J. Pinckney Henderson,Lord Palmerston,526
J. Pinckney Henderson,Lord Palmerston,527
Lord Palmerston,J. Pinckney Henderson,528
R. A. Irion,J. Pinckney Henderson,529
J. Pinckney Henderson,R. A. Irion,530
J. Pinckney Henderson,R. A. Irion,531
,,532
,,533
,,534
,,535
,,536
J. Pinckney Henderson,Lord Palmerston,537
J. Pinckney Henderson,Lord Palmerston,538
J. Pinckney Henderson,Lord Palmerston,539
Lord Palmerston,J. Pinckney Henderson,540
R. A. Irion,Agent of Lloyds,541
R. A. Irion,J. Pinckney Henderson,542
J. Pinckney Henderson,R. A. Irion,543
J. Pinckney Henderson,Lord Palmerston,544
Lord Palmerston,J. Pinckney Henderson,545
J. Pinckney Henderson,Lord Palmerston,546
J. Pinckney Henderson,Lord Palmerston,547
Lord Palmerston,J. Pinckney Henderson,548
J. Pinckney Henderson,Lord Palmerston,549
Lord Palmerston,J. Pinckney Henderson,550
R. A. Irion,J. Pinckney Henderson,551
R. A. Irion,J. Pinckney Henderson,552
R. A. Irion,J. Pinckney Henderson,553
James Hamilton,H. S. Fox,554
H. S. Fox,James Hamilton,555
David G. Burnet,J. Pinckney Henderson,556
David G. Burnet,James Hamilton,557
,October 16 1839,558
,November 24 1839,559
,November 27 1839,560
James Hamilton,David G. Burnet,561
R. Pakenham,James Hamilton,562
James Hamilton,R. Pakenham,563
James Hamilton,R. Pakenham,564
James Buchanan,E. W. Moore,565
E. W. Moore,James Buchanan,566
James Hamilton,Abner S. Lipscomb,567
James Hamilton,Lord Palmerston,568
James Treat,Mirabeau B. Lamar,569
James Treat,Abner S. Lipscomb,570
R. Pakenham,James Treat,571
James Treat,R. Pakenham,572
Abner S. Lipscomb,R. Pakenham,573
John Taylor,Mirabeau B. Lamar,574
List of negro subjects of Great Britain alleged,be held in slavery in Texas,575
James Hamilton,Abner S. Lipscomb,576
Mirabeau B. Lamar,Lord Russell,577
Joseph Waples,Wm. Bryan,578
James Hamilton,Abner S. Lipscomb,579
Geo. S. Mcintosh,Mirabeau B. Lamar,580
James Hamilton,Abner S. Lipscomb,581
James Hamilton,Lord Palmerston,582
Abner S. Lipscomb,Wm. Bryan,583
,,584
,,585
,,586
,,587
,,588
James Hamilton,Mirabeau B. Lamar,589
James Hamilton,Monroe Edwards,590
Lord Palmerston,James Hamilton,591
James Hamilton,Abner S. Lipscomb,592
James Hamilton,Abner S. Lipscomb,593
Hamilton and Burnley,James H. Starr,594
James Hamilton,Abner S. Lipscomb,595
James Hamilton,Lord Palmerston,596
Lord Palmerston,James Hamilton,597
James Hamilton,Mirabeau B. Lamar,598
Lord Palmerston,James Hamilton,599
James S. Mayfield,James Hamilton,600
James S. Mayfield,James Hamilton,601
A. T. Burnley,David G. Burnet,602
Arthur Ikin,James S. Mayfield,603
James Hamilton,James S. Mayfield,604
,,605
Samuel A. Roberts,James Hamilton,606
John Crawford,Mirabeau B. Lamar,607
Lord Palmerston,Mirabeau B. Lamar,608
James Hamilton,Samuel A. Roberts,609
Anson Jones,James Hamilton,610
James Hamilton,Anson Jones,611
James Hamilton,Anson Jones,612
James Hamilton,Nathaniel Amory,613
James Hamilton,Anson Jones,614
James Hamilton,Anson Jones,615
Anson Jones,Ashbel Smith,616
Arthur Ikin,Anson Jones,617
Anson Jones,Ashbel Smith,618
Geo. Fisher,Anson Jones,619
Ashbel Smith,Anson Jones,620
Ashbel Smith,Anson Jones,621
Ashbel Smith,Anson Jones,622
Anson Jones,Ashbel Smith,623
Ashbel Smith,Anson Jones,624
Ashbel Smith,Anson Jones,625
,June 28 1842,626
Ashbel Smith,Anson Jones,627
Ashbel Smith,Anson Jones,628
Ashbel Smith,Lord Aberdeen,629
Ashbel Smith,Anson Jones,630
Ashbel Smith,Edward Everett,631
Edward Everett,Ashbel Smith,632
Edward Everett,Ashbel Smith,633
Edward Everett,Ashbel Smith,634
Ashbel Smith,Samuel Amory,635
Samuel Amory,George K. Teulon,636
Ashbel Smith,Edward Everett,637
Edward Everett,Ashbel Smith,638
Ashbel Smith,Edward Everett,639
,,640
,,641
,,642
,,643
,,644
Ashbel Smith,Lord Aberdeen,645
Ashbel Smith,Lord Aberdeen,646
Lord Aberdeen,Ashbel Smith,647
M. P. Russell,Ashbel Smith,648
Ashbel Smith,James Reily,649
Ashbel Smith,George S. Mcintosh,650
Ashbel Smith,Lord Aberdeen,651
,,652
M. P. Russell,Ashbel Smith,653
Lord Aberdeen,Ashbel Smith,654
Ashbel Smith,George S. Mcintosh,655
Ashbel Smith,Lord Aberdeen,656
Lord Aberdeen,Ashbel Smith,657
Ashbel Smith,M. P. Russell,658
Joseph Hume,Ashbel Smith,659
Lachlin M. Rate,Ashbel Smith,660
Memorandum concerning War Steamers,be used against Texas,661
Wm. Pringle,Ashbel Smith,662
M. P. Russell,Ashbel Smith,663
William Kennedy,Ashbel Smith,664
Arthur Ikin,Ashbel Smith,665
Ashbel Smith,Arthur Ikin,666
Fox Sons & Co.,Ashbel Smith,667
Ashbel Smith,Lord Aberdeen,668
Gabriel Shaw,Ashbel Smith,669
Ashbel Smith,Joseph Hume,670
Ashbel Smith,Lachlin M. Rate,671
Wm. Pringle,Ashbel Smith,672
Ashbel Smith,Wm. Pringle,673
Lachlin M. Rate,Ashbel Smith,674
,,675
Certificate of Exchange of Ratification of Convention as,Debt be-,676
Ashbel Smith,Anson Jones,677
Ashbel Smith,Anson Jones,678
Ashbel Smith,Wm. Pringle,679
Wm. Pringle,Ashbel Smith,680
Wm. Pringle,Ashbel Smith,681
G. W. Terrell,Ashbel Smith,682
,August 23 1842,683
G. W. Terrell,Charles Elliot,684
G. W. Terrell,Lord Aberdeen,685
Ashbel Smith,Lord Aberdeen,686
Charles Elliot,G. W. Terrell,687
Joseph Waples,Charles Elliot,688
Ashbel Smith,Anson Jones,689
Ashbel Smith,Lord Aberdeen,690
Ashbel Smith,H. U. Addington,691
,,692
,,693
,,694
,,695
,,696
Ashbel Smith,Texan Consuls,697
Ashbel Smith,Anson Jones,698
Ashbel Smith,Lord Aberdeen,699
Charles Elliot,Anson Jones,700
Ashbel Smith,Anson Jones,701
Ashbel Smith,Anson Jones,702
James Hamilton,Anson Jones,703
Ashbel Smith,Anson Jones,704
Ashbel Smith,Anson Jones,705
Lord Aberdeen,Ashbel Smith,706
Lord Aberdeen,Ashbel Smith,707
Lord Aberdeen,Ashbel Smith,708
Ashbel Smith,Lord Aberdeen,709
Charles Elliot,G. W. Terrell,710
James Hamilton,Anson Jones,711
James Hamilton,Anson Jones,712
James Hamilton,Lords of the Treasury,713
H. U. Addington,James Hamilton,714
James Hamilton,Senior Officer of British Navy,715
G. W. Terrell,Charles Elliot,716
G. W. Terrell,Ashbel Smith,717
Charles Elliot,G. W. Terrell,718
Anson Jones,Sam Houston,719
Anson Jones,Charles Elliot,720
Ashbel Smith,Anson Jones,721
Lord Aberdeen,Ashbel Smith,722
Ashbel Smith,Lord Aberdeen,723
Ashbel Smith,Lord Aberdeen,724
Ashbel Smith,Lachlin M. Rate,725
Charles Elliot,Anson Jones,726
Anson Jones,Ashbel Smith,727
Anson Jones,Ashbel Smith,728
Anson Jones,Ashbel Smith,729
Charles Elliot,Anson Jones,730
Sam Houston,Charles Elliot,731
Anson Jones,Ashbel Smith,732
Charles Elliot,Anson Jones,733
Percy W. Doyle,Charles Elliot,734
Anson Jones,Charles Elliot,735
Anson Jones,Ashbel Smith,736
Ashbel Smith,Wm. Henry Daingerfield,737
Ashbel Smith,Anson Jones,738
Charles Elliot,Anson Jones,739
Anson Jones,Charles Elliot,740
Ashbel Smith,Wm. Henry Daingerfield,741
Ashbel Smith,Anson Jones,742
Ashbel Smith,Isaac Van Zandt,743
Ashbel Smith,Isaac Van Zandt,744
Ashbel Smith,Anson Jones,745
Ashbel Smith,Wm. Henry Daingerfield,746
Ashbel Smith,Wm. Henry Daingerfield,747
Ashbel Smith,Wm. Henry Daingerfield,748
,,749
,,750
,,751
,,752
,,753
Ashbel Smith,Anson Jones,754
Charles Elliot,Anson Jones,755
Anson Jones,Charles Elliot,756
Ashbel Smith,Anson Jones,757
Charles Elliot,Anson Jones,758
Anson Jones,Ashbel Smith,759
Ashbel Smith,Anson Jones,760
Baron de Cetto,Ashbel Smith,761
Ashbel Smith,Baron de Cetto,762
Charles Elliot,Anson Jones,763
Anson Jones,Charles Elliot,764
Anson Jones,Charles Elliot,765
Charles Elliot,Anson Jones,766
Anson Jones,Charles Elliot,767
Anson Jones,Charles Elliot,768
Ashbel Smith,Anson Jones,769
Ashbel Smith,Lord Aberdeen,770
Charles Elliot,Anson Jones,771
Anson Jones,Ashbel Smith,772
Charles Elliot,Anson Jones,773
Charles Elliot,Anson Jones,774
Ashbel Smith,Anson Jones,775
Edward Everett,Ashbel Smith,776
Ashbel Smith,Edward Everett,777
Charles Elliot,Anson Jones,778
,,779
Anson Jones,Charles Elliot,780
Anson Jones,Charles Elliot,781
Charles Elliot,Anson Jones,782
Charles Elliot,Anson Jones,783
Ashbel Smith,Anson Jones,784
Ashbel Smith,Anson Jones,785
Anson Jones,Ashbel Smith,786
Ashbel Smith,Anson Jones,787
